corruption,severity,arch,dice_mean
noise,0.0,baseline,0.4210537401538113
noise,0.05,baseline,0.4212662085123325
noise,0.1,baseline,0.4217147430832675
noise,0.2,baseline,0.4071250345537546
blur,0.0,baseline,0.4210537401538113
blur,0.5,baseline,0.4024598371751933
blur,1.0,baseline,0.295960608506166
noise,0.0,fresnel,0.4171445002015632
noise,0.05,fresnel,0.4170335737081893
noise,0.1,fresnel,0.4195388520473873
noise,0.2,fresnel,0.4107584876090061
blur,0.0,fresnel,0.4171445002015632
blur,0.5,fresnel,0.3852559457413654
blur,1.0,fresnel,0.2839070203981367
noise,0.0,sea,0.4256787397478745
noise,0.05,sea,0.4250539508104472
noise,0.1,sea,0.4223936313549449
noise,0.2,sea,0.410119935005718
blur,0.0,sea,0.4256787397478745
blur,0.5,sea,0.4060261102092244
blur,1.0,sea,0.2987667886123206
